stove_details_name,details_manu,details_web,stove_desc,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_dur_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_dimensions,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iso_eff_val,iso_eff_sd,iso_eff_num,iso_eff_date,iso_eff_fuel,iso_safe_val,iso_safe_sd,iso_safe_num,iso_safe_date,iso_safe_fuel,iso_dur_val,iso_dur_sd,iso_dur_num,iso_dur_date,iso_dur_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel
Side Feed Fan Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,The stove features fast jets of air that enter the combustion chamber below the burning wood and charcoal. The fast jets of air create superior mixing of air and wood gas and result in clean combustion. The fan also increases the velocity of the overall exhaust gasses resulting in higher thermal efficiency.,Tier 4,Not Available,,,,Tier 3,3,Flat bottom,10,5.0-15.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,480.0/260.0/350.0,6.6,480.0/260.0/350.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.8,1.8 - 1.8,1,2014,Wood,47.2,47.2 - 47.2,1,2014,Wood,0,0 - 0,1,2014,Wood,0.5,0.5 - 0.5,1,2014,Wood,47.1,47.1 - 47.1,1,2014,Wood,47.1,47.1 - 47.1,1,2014,Wood
jikokoa,Burn Manufacturing,http://www.burnmanufacturing.com/,,Tier 4,Tier 3,,,,Tier 1,2,Both,7,1.0-10.0,"Ugali, Rice, Githeri, Vegetables, Chapatti, Lentils, Beans, Tea etc.",40,295.0/350.0/240.0,3.1,295.0/350.0/240.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,12.8,12.5 - 13,2,2014,Charcoal,45.2,45 - 45.4,2,2014,Charcoal,0,0 - 0,2,2014,Charcoal,0.5,0.5 - 0.5,2,2014,Charcoal,44,43 - 45,2,2014,Charcoal,44,43 - 45,2,2014,Charcoal
SaverPro 100 (Envirofit EFI-100L),Envirofit International,http://www.envirofit.org/,"Envirofit’s largest fuel-efficient clean cookstove. Designed for stability and portability, the Institutional Cookstove is the perfect cooking alternative for restaurants, orphanages, schools, and community centers.",Tier 4,Not Available,,,,Not Available,5,,100,nan,,nan,1000.0/1000.0/900.0,45,1000.0/1000.0/900.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2,02-feb,1,2014,Wood,496.2,496.2 - 496.2,1,2014,Wood,0,0 - 0,1,2014,Wood,0.5,0.5 - 0.5,1,2014,Wood,45.7,45.7 - 45.7,1,2014,Wood,45.7,45.7 - 45.7,1,2014,Wood
"SAFI Cooker, Double Burner",Safi International AS,http://www.safi-international.com,"The Safi Cooker is a safe and durable ethanol cookstove with patented burning technology. Each burner delivers up to 1.6kW of adjustable firepower and burns with a clear blue flame. Front loading fuel canisters slide out for easy refueling and filled with mineral wool for safe fuel retention. The pot supports are solid and removable for cleaning. It is possible to replace the mineral wool to extend the life of the stove. Modern design in three colors: Orange, green and blue.",Tier 4,Tier 3,,,,Not Available,5,Both,15,1.0-10.0,All types of food made at home,30.0-80.0,700.0/310.0/155.0,5.65,700.0/310.0/155.0,Pop rivet tool,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.4,2.4 - 2.4,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,Not Available,Not Available,0,Not Available,Not Available,64.2,64.2 - 64.2,1,2015,Ethanol/alcohol,64.2,64.2 - 64.2,1,2015,Ethanol/alcohol
"Safi Cooker, Single Burner",Safi International AS,http://www.safi-international.com,"The Safi Cooker is a safe and durable ethanol cookstove with patented burning technology. The burner delivers up to 1.6kW of adjustable firepower and burns with a clear blue flame. A front loading fuel canister slides out for easy refueling and is filled with mineral wool for safe fuel retention. The pot support is solid and removable for cleaning. It is possible to replace the mineral wool to extend the life of the stove. Modern design in three colors: Orange, green and blue.",Tier 4,Tier 3,,,,Not Available,5,Both,15,1.0-8.0,All types of food made at home,25.0-40.0,409.0/310.0/155.0,3.1,409.0/310.0/155.0,Pop rivet tool,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.4,2.4 - 2.4,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,Not Available,Not Available,0,Not Available,Not Available,64.2,64.2 - 64.2,1,2015,Ethanol/alcohol,64.2,64.2 - 64.2,1,2015,Ethanol/alcohol
Moto Safi,Consumer's Choice Limited,http://www.consumerschoice.kbo.co.ke,"Moto Safi ethanol gel fueled stove comes in single burner stoves. Moto Safi stove comes packed in a branded box with user instructions and manufacturers contacts, weighing 1.2 kg per stove. The stove has been tested and passed by SGS and awarded a Certificate of Conformity. Kenya Bureau of Standards has issued an Import Standardization Mark (ISM) to be labeled on the Moto Safi box. Through Kenya Industrial Property Institute (KIPI) Moto Safi has been issued a trade mark which expires in March 2026 - TM No. 74471. The stove is also user friendly, durable and extremely safe to use. The fuel tank is not pressurized and thus cannot explode. The stove flame is adjusted and extinguished by a simple regulator. The stove is also light in weight and is easy to carry (portable 1.2 kg). The stove is also very strong and the pot trivet is designed to carry a pot of up to 60kg. The stove is made of mild steel of Gauge 22 (6mm thickness) and comes in two colours, white and teflon. Moto Safi stove design is round and does not have any sharp edges. Moto Safi Stove has a stainless steel gel container and flame regulator, ensuring they will not rust.",Tier 4,Not Available,,,,Not Available,6,Flat bottom,5,1.0-5.0,all types of food cooked on flat bottomed pot.,18.5-29.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,6.4,6.4 - 6.4,1,2013,Ethanol/alcohol,Not Available,Not Available,0,Not Available,Not Available,0.1,0.1 - 0.1,1,2013,Ethanol/alcohol,Not Available,Not Available,0,Not Available,Not Available,51.5,51.5 - 51.5,1,2013,Ethanol/alcohol,51.5,51.5 - 51.5,1,2013,Ethanol/alcohol
KIKE Green Cook KD1,SMEFunds,http://smefunds.com/,"KIKE Green Cook are of durable design. The KD-series is made entirely of long-lasting special baked stainless steel. An expensive improvement on the AS-series is made with cost-saving but durable substitutes galvanized steel and aluminum. All burner parts are high temperature stainless steel. The flame regulator is the only moving part. All stainless steel burner parts, body of stainless steel, galvanized steel, high quality enamel finish (KD1 / KD2). An 0.75 liter of Gel fuel (Two filling) will provide a full day of cooking for a family of five. Kike Green Cook has a 5-year warranty on them.",Tier 3,Not Available,,,,Tier 4,10,Both,8,5.0-10.0,"Rice, beans, Garri, Soup, Yam, Maize etc",15.0-28.0,275.0/275.0/100.0,1.2,275.0/275.0/100.0,A complete manufacturing line,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,4.8,4.8 - 4.8,1,2015,Ethanol/alcohol,10,10-oct,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,0.1,0.1 - 0.1,1,2015,Ethanol/alcohol,43,43 - 43,1,2015,Ethanol/alcohol,43,43 - 43,1,2015,Ethanol/alcohol
ACE 1,African Clean Energy,http://www.africancleanenergy.com/,"African Clean Energy has developed the ACE 1 Ultra-Clean Biomass Cookstove, which burns fuel cleanly. Our new cookstove uses gasification to burn almost any type of biomass. For more information, visit: http://www.africancleanenergy.com/technology/",Tier 3,Tier 4,,,,Tier 3,12,Both,70,nan,"In Africa it is the maizemeal porridge which in Lesotho is called Papa. In Asia, people cook rice and vegetables on it, or various stews. We've also discovered that with a clever grill or griddle top it is also very handy at preparing meat and fish.",nan,330.0/330.0/350.0,4.6,330.0/330.0/350.0,"We offer a flatpack shipping option, which means the stoves can be sent in parts, saving substantially on logistics costs. The first shipment can come with the tools necessary to finish assembly, supporting the set up of local production lines.",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.8,0.8 - 0.8,1,2015,Other,101.1,101.1 - 101.1,1,2015,Other,0,0 - 0,1,2015,Other,0.8,0.8 - 0.8,1,2015,Other,41.5,41.5 - 41.5,1,2015,Other,41.5,41.5 - 41.5,1,2015,Other
LPG/NG 2B SS gas stove,Delher (Estufas Delgado Hermanos S.A. de C.V),http://www.delher.com/,LPG or natural gas stainless steel gas stove,Tier 3,Tier 4,,,,Tier 3,7,Both,20,1.0-10.0,all food,26.99-29.99,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
LPG/NG 4B SS,Delher (Estufas Delgado Hermanos S.A. de C.V),http://www.delher.com/,LPG or natural gas 4 burner stainless steel table stove.,Tier 3,Tier 4,,,,Tier 3,7,Both,40,1.0-10.0,all food,53.99-59.99,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Jikokoa Xtra,Burn Manufacturing,http://www.burnmanufacturing.com/,"Big, durable and powerful household charcoal stove manufactured in and used throughout Africa",Tier 3,Not Available,,,,Tier 1,3,Both,10,1.0-20.0,"Ugali, Rice, Githeri, Vegetables, Chapati, Lentils, Beans, Tea etc.",40.0-50.0,302.0/nan/270.0,5,302.0/nan/270.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,11.2,11.2 - 11.2,1,2019,Charcoal,31.6,31.6 - 31.6,1,2019,Charcoal,0.1,0.1 - 0.1,1,2019,Charcoal,0.5,0.5 - 0.5,1,2019,Charcoal,44.2,44.2 - 44.2,1,2019,Charcoal,44.2,44.2 - 44.2,1,2019,Charcoal
StoveTec Charcoal Prototype,StoveTec,http://stovetecstore.net/,,Tier 3,Not Available,,,,Tier 0,,,,nan,,nan,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,16.7,15.7 - 17.7,2,2012,Charcoal,458.5,415 - 502,2,2012,Charcoal,0.1,0.1 - 0.1,2,2012,Charcoal,1.4,1.3 - 1.4,2,2012,Charcoal,33.4,30.7 - 36.1,2,2012,Charcoal,33.4,30.7 - 36.1,2,2012,Charcoal
Canamake Ivuguruye,AJDR Cooperative,nan,"A charcoal stove made with filler material, sand, cement, and clay. The stove body is cylindrical. Lifetime varies from 3 to 5 year depending on a proper handling.",Tier 3,Not Available,,,,Tier 0,4,Round bottom,15,1.0-15.0,"Beans, potatoes, rice, vegetables, meat, etc.",5.7-6.5,222.0/161.0/59.0,3.5,222.0/161.0/59.0,"Metal, clay, cement and sand",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,27.9,27.9 - 27.9,1,2014,Charcoal,8.1,8.1 - 8.1,1,2014,Charcoal,0.2,0.2 - 0.2,1,2014,Charcoal,0,0 - 0,1,2014,Charcoal,37.1,37.1 - 37.1,1,2014,Charcoal,37.1,37.1 - 37.1,1,2014,Charcoal
Small Natural Draft Sunken Pot Rocket Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,"A double skirt is built into the stove. A dedicated pot fits into the skirt with tight channel gaps resulting in high thermal efficiency. A local pot can be used on top of the pot hole if needed. A chimney pulls stove emissions out of the house. Cooking with this stove is like cooking with the three stone fire, but safer, cleaner, faster, and with less fuel. Firepower is controlled by increasing or decreasing the amount of sticks in the fire, or how much of the stick is in the fire at one time.",Tier 3,Not Available,,,,Not Available,3,Flat bottom,7,3.0-9.0,Any food that can be cooked in a pot at low or high power.,25.0-30.0,660.0/420.0/2160.0,7.2,660.0/420.0/2160.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.2,2.2 - 2.2,1,2014,Wood,152.2,152.2 - 152.2,1,2014,Wood,0.1,0.1 - 0.1,1,2014,Wood,1.7,1.7 - 1.7,1,2014,Wood,49.7,49.7 - 49.7,1,2014,Wood,49.7,49.7 - 49.7,1,2014,Wood
